과목명,과목구분,운영학과,강의시간,교수명,성적평가방식,수업형태
교육사회학의이론과실제,전공(핵심),사범대학 교육학과,수09:00~12:00(글로벌308),박환보,GRADE,가상강의(보조강의)
교육심리학의이론과실제,전공(핵심),사범대학 교육학과,수16:00~19:00(글로벌308),박용한,GRADE,가상강의(보조강의)
교육학교육과정및교재연구,전공(핵심),사범대학 교육학과,월15:00~18:00(글로벌503),문찬주,GRADE,가상강의(보조강의)
인권과세계시민교육,전공(심화),사범대학 교육학과,화09:00~12:00(글로벌308),허창수,GRADE,가상강의(보조강의)
미래설계상담4,전공(기초),사범대학 교육학과,,이은정,PASS/FAIL,
한국교육행정론,전공(핵심),사범대학 교육학과,수13:00~16:00(글로벌308),박수정,GRADE,가상강의(보조강의)
교육학교수법 및 평가,전공(핵심),사범대학 교육학과,화14:00~16:00(글로벌308),정혜원,GRADE,가상강의(보조강의)
미래설계상담6,전공(기초),사범대학 교육학과,,이은정,PASS/FAIL,
진로교육-캡스톤디자인,전공(심화),사범대학 교육학과,"금09:00~11:00(글로벌308), 금11:00~13:00(글로벌308)",손은령,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),사범대학 체육교육과,,이주욱,PASS/FAIL,가상강의(보조강의)
체조 1,전공(기초),사범대학 체육교육과,목11:00~13:00(체조장),김동화,GRADE,가상강의(보조강의)
테니스,전공(기초),사범대학 체육교육과,화09:00~11:00(테니스장(종합)),현광석,GRADE,가상강의(보조강의)
체육해부학,전공(핵심),사범대학 체육교육과,"목09:00~11:00(자1304), 금13:00~14:00(자1304)",박상균,GRADE,가상강의(보조강의)
체육논술,전공(기초),사범대학 체육교육과,"월13:00~14:00(자2415), 수09:00~11:00(자2415)",이주욱,GRADE,가상강의(보조강의)
트레이닝의 실제,전공(핵심),사범대학 체육교육과,"월14:00~16:00(자1309), 수08:00~09:00(자1309)",오정환,GRADE,가상강의(보조강의)
스포츠사회학개론,전공(핵심),사범대학 체육교육과,화14:00~16:00(자1309),황성하,GRADE,가상강의(보조강의)
여가레크리에이션,전공(기초),사범대학 체육교육과,수11:00~13:00(체조장),이수근,GRADE,가상강의(보조강의)
요가,교양(소양),사범대학 체육교육과,월14:00~16:00(체조장),김동화,GRADE,가상강의(보조강의)
요가,교양(소양),사범대학 체육교육과,화16:00~18:00(체조장),김동화,GRADE,가상강의(보조강의)
요가,교양(소양),사범대학 체육교육과,화14:00~16:00(체조장),오선정,GRADE,가상강의(보조강의)
축구,교양(소양),사범대학 체육교육과,월11:00~13:00(북부운동장),박경호,GRADE,가상강의(보조강의)
축구,교양(소양),사범대학 체육교육과,월13:00~15:00(북부운동장),박경호,GRADE,가상강의(보조강의)
배드민턴,교양(소양),사범대학 체육교육과,"수13:00~14:00(체202), 목11:00~13:00(체109(경기장))",이주욱,GRADE,가상강의(보조강의)
배드민턴,교양(소양),사범대학 체육교육과,"월09:00~11:00(체109(경기장)-01), 수13:00~14:00(자1309)",이채민,GRADE,가상강의(보조강의)
배드민턴,교양(소양),사범대학 체육교육과,"화09:00~11:00(체109(경기장)-01), 목13:00~14:00(자2415)",신의수,GRADE,가상강의(보조강의)
배드민턴,교양(소양),사범대학 체육교육과,"화13:00~14:00(자1309), 목09:00~11:00(체109(경기장))",이채민,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,화14:00~16:00(체109(경기장)),김동화,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,월14:00~16:00(종합운동장),최보나,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,화14:00~16:00(자2104),이수행,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,화16:00~18:00(종합운동장),박정민,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,수09:00~11:00(체조장),이수근,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,수14:00~16:00(체조장),이수근,GRADE,가상강의(보조강의)
운동방법의 실제,교양(소양),사범대학 체육교육과,목14:00~16:00(자2104),홍수영,GRADE,가상강의(보조강의)
테니스,교양(소양),사범대학 체육교육과,"월13:00~14:00(체202), 화14:00~16:00(테니스장(종합))",현광석,GRADE,가상강의(보조강의)
테니스,교양(소양),사범대학 체육교육과,"월13:00~14:00(자1309), 수11:00~13:00(테니스장(종합))",류상균,GRADE,가상강의(보조강의)
피트니스 트레이닝,교양(소양),사범대학 체육교육과,"월10:00~12:00(자2104), 화13:00~14:00(자2104)",오정환,GRADE,가상강의(보조강의)
피트니스 트레이닝,교양(소양),사범대학 체육교육과,"화10:00~12:00(자2104), 수13:00~14:00(자2104)",오정환,GRADE,가상강의(보조강의)
피트니스 트레이닝,교양(소양),사범대학 체육교육과,"월13:00~14:00(자2104), 목10:00~12:00(자2104)",신의수,GRADE,가상강의(보조강의)
골프,교양(소양),사범대학 체육교육과,월14:00~16:00(골프학습장),이정흔,GRADE,가상강의(보조강의)
골프,교양(소양),사범대학 체육교육과,화11:00~13:00(골프학습장),이정흔,GRADE,가상강의(보조강의)
골프,교양(소양),사범대학 체육교육과,월11:00~13:00(골프학습장),이채민,GRADE,가상강의(보조강의)
농구,교양(소양),사범대학 체육교육과,수11:00~13:00(체109(경기장)),이원찬,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),사범대학 체육교육과,,이주욱,PASS/FAIL,가상강의(보조강의)
야외교육,전공(핵심),사범대학 체육교육과,수18:00~20:00(자2415),홍수영,GRADE,가상강의(보조강의)
핸드볼,전공(핵심),사범대학 체육교육과,화09:00~11:00(체109(경기장)),김민영,GRADE,가상강의(보조강의)
체조 3,전공(심화),사범대학 체육교육과,목09:00~11:00(체조장),김동화,GRADE,가상강의(보조강의)
육상경기 2,전공(기초),사범대학 체육교육과,목11:00~13:00(종합운동장),전덕형,GRADE,가상강의(보조강의)
건강교육론,전공(핵심),사범대학 체육교육과,수09:00~11:00(자1309),류상균,GRADE,가상강의(보조강의)
배드민턴,전공(기초),사범대학 체육교육과,월14:00~16:00(체109(경기장)),황성하,GRADE,가상강의(보조강의)
수영 2,전공(심화),사범대학 체육교육과,수13:00~15:00(수영장),현광석,GRADE,가상강의(보조강의)
축구지도법,전공(심화),사범대학 체육교육과,"화08:00~09:00(자2415), 금09:00~11:00(북부운동장)",황명구,GRADE,가상강의(보조강의)
탁구지도법,전공(심화),사범대학 체육교육과,"월09:00~11:00(체109(경기장)), 목13:00~14:00(체202)",이정흔,GRADE,가상강의(보조강의)
운동생리학,전공(핵심),사범대학 체육교육과,"월11:00~13:00(자1304), 화13:00~14:00(자1304)",현광석,GRADE,가상강의(보조강의)
뉴스포츠,전공(핵심),사범대학 체육교육과,목14:00~16:00(체109(경기장)),이주욱,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),사범대학 체육교육과,,이주욱,PASS/FAIL,가상강의(보조강의)
배구,전공(심화),사범대학 체육교육과,금14:00~16:00(체109(경기장)-01),이기범,GRADE,가상강의(보조강의)
종합실기 1,전공(핵심),사범대학 체육교육과,수14:00~16:00(체109(경기장)),황성하,GRADE,가상강의(보조강의)
골프지도법,전공(심화),사범대학 체육교육과,"화13:00~14:00(골프학습장), 목11:00~13:00(골프학습장)",이승민,GRADE,가상강의(보조강의)
체육측정평가,전공(핵심),사범대학 체육교육과,"월11:00~13:00(자1309), 목08:00~09:00(자1309)",김동화,GRADE,가상강의(보조강의)
운동역학,전공(핵심),사범대학 체육교육과,"화08:00~09:00(자1309), 목14:00~16:00(자1309)",오정환,GRADE,가상강의(보조강의)
체육교육론,전공(핵심),사범대학 체육교육과,"월14:00~16:00(자2415), 수08:00~09:00(자2415)",이주욱,GRADE,가상강의(보조강의)
운동학습,전공(핵심),사범대학 체육교육과,"화11:00~13:00(자1309), 목13:00~14:00(자1309)",이승민,GRADE,가상강의(보조강의)
동계스포츠,전공(핵심),사범대학 체육교육과,,오정환,GRADE,가상강의(보조강의)
수영 3,전공(심화),사범대학 체육교육과,화15:00~17:00(수영장),이승민,GRADE,가상강의(보조강의)
태권도,전공(심화),사범대학 체육교육과,화11:00~13:00(태권도장),신의수,GRADE,가상강의(보조강의)
농구지도법,전공(심화),사범대학 체육교육과,"수09:00~11:00(체109(경기장)), 금08:00~09:00(체202)",이원찬,GRADE,가상강의(보조강의)
수영지도법,전공(심화),사범대학 체육교육과,"화08:00~09:00(체202), 목15:00~17:00(수영장)",현광석,GRADE,가상강의(보조강의)
체조지도법,전공(심화),사범대학 체육교육과,"수08:00~09:00(체조장), 목13:00~15:00(체조장)",김동화,GRADE,가상강의(보조강의)
뉴스포츠 지도법,전공(심화),사범대학 체육교육과,"월11:00~13:00(체109(경기장)), 화13:00~14:00(체202)",이주욱,GRADE,가상강의(보조강의)
건축계획학,전공(핵심),사범대학 건설공학교육과,"화16:00~18:00(글로벌309), 수08:00~09:00(글로벌309)",김선우,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),사범대학 건설공학교육과,,김선우,PASS/FAIL,가상강의(보조강의)
공업수학,전공(기초),사범대학 건설공학교육과,"수11:00~12:00(글로벌309), 목14:00~16:00(글로벌309)",정갑용,GRADE,가상강의(보조강의)
공업물리,전공(기초),사범대학 건설공학교육과,"월14:00~16:00(글로벌309), 화10:00~11:00(글로벌309)",김정은,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),사범대학 건설공학교육과,화11:00~12:00(글로벌309),김선우,GRADE,가상강의(보조강의)
건설재료학,전공(핵심),사범대학 건설공학교육과,수09:00~12:00(글로벌302),배준영,GRADE,가상강의(보조강의)
측량학,전공(기초),사범대학 건설공학교육과,"화10:00~11:00(글로벌302), 목10:00~12:00(글로벌302)",정갑용,GRADE,가상강의(보조강의)
구조역학1,전공(기초),사범대학 건설공학교육과,"월16:00~17:00(글로벌309), 화14:00~16:00(글로벌309)",박완신,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),사범대학 건설공학교육과,,박완신,PASS/FAIL,가상강의(보조강의)
건축응용설계1,전공(심화),사범대학 건설공학교육과,"목13:00~16:00(글로벌410), 목16:00~17:00(글로벌410)",김정은,GRADE,가상강의(보조강의)
건축시공실습,전공(기초),사범대학 건설공학교육과,수13:00~19:00(글로벌415),김선우,GRADE,가상강의(보조강의)
건설교육론,전공(핵심),사범대학 건설공학교육과,월12:00~15:00(글로벌312),송낙현,GRADE,가상강의(보조강의)
건축시공학,전공(심화),사범대학 건설공학교육과,"월16:00~18:00(글로벌302), 목08:00~09:00(글로벌302)",김선우,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),사범대학 건설공학교육과,,송낙현,PASS/FAIL,가상강의(보조강의)
철근콘크리트구조설계1,전공(핵심),사범대학 건설공학교육과,"월14:00~16:00(글로벌302), 화16:00~17:00(글로벌302)",박완신,GRADE,가상강의(보조강의)
측량실습,전공(핵심),사범대학 건설공학교육과,수13:00~19:00(글로벌410),정갑용,GRADE,가상강의(보조강의)
건설교육과정및교재연구,전공(핵심),사범대학 건설공학교육과,화13:00~16:00(글로벌312),송낙현,GRADE,가상강의(보조강의)
건축도서 및 적산,전공(심화),사범대학 건설공학교육과,"월10:00~12:00(글로벌309), 목10:00~12:00(글로벌309)",김정은,GRADE,가상강의(보조강의)
토목시공학,전공(심화),사범대학 건설공학교육과,수14:00~18:00(글로벌302),배준영,GRADE,가상강의(보조강의)
토목설계(캡스톤디자인),전공(심화),사범대학 건설공학교육과,"월16:00~18:00(글로벌312), 화14:00~16:00(글로벌302)",김정환,GRADE,가상강의(보조강의)
구조해석및실습,전공(심화),사범대학 건설공학교육과,"월19:00~21:00(글로벌302), 화08:00~10:00(글로벌302)",박완신,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),사범대학 전기·전자·통신공학교육과,,김태훈,PASS/FAIL,가상강의(보조강의)
창의공학설계프로젝트,전공(핵심),사범대학 전기·전자·통신공학교육과,목13:00~16:00(글로벌301),서형업,GRADE,가상강의(보조강의)
미적분학,전공(핵심),사범대학 전기·전자·통신공학교육과,"화17:00~18:00(글로벌301), 수16:00~18:00(글로벌301)",조지인,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),사범대학 전기·전자·통신공학교육과,월13:00~14:00(글로벌301),김태훈,GRADE,가상강의(보조강의)
전기자기학1,전공(기초),사범대학 전기·전자·통신공학교육과,"월10:00~12:00(글로벌301), 화14:00~15:00(글로벌301)",김정일,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),사범대학 전기·전자·통신공학교육과,,김태훈,PASS/FAIL,가상강의(보조강의)
컴퓨터프로그래밍,전공(핵심),사범대학 전기·전자·통신공학교육과,"수13:00~14:00(글로벌312), 목10:00~12:00(글로벌312)",장은상,GRADE,가상강의(보조강의)
논리회로실험,전공(심화),사범대학 전기·전자·통신공학교육과,"화18:00~21:00(글로벌504), 목18:00~21:00(글로벌504)",장은상,GRADE,가상강의(보조강의)
전기·전자·통신교육론,전공(핵심),사범대학 전기·전자·통신공학교육과,"월16:00~17:00(글로벌305), 수14:00~16:00(글로벌305)",김태훈,GRADE,가상강의(보조강의)
회로이론1,전공(기초),사범대학 전기·전자·통신공학교육과,"화13:00~14:00(글로벌301), 수10:00~12:00(글로벌301)",조한욱,GRADE,가상강의(보조강의)
물리전자,전공(핵심),사범대학 전기·전자·통신공학교육과,"월10:00~12:00(글로벌305), 수09:00~10:00(글로벌305)",나준희,GRADE,가상강의(보조강의)
전자회로 1,전공(핵심),사범대학 전기·전자·통신공학교육과,"월16:00~18:00(글로벌301), 화09:00~10:00(글로벌301)",나준희,GRADE,가상강의(보조강의)
통신이론,전공(핵심),사범대학 전기·전자·통신공학교육과,"화15:00~16:00(글로벌301), 수14:00~16:00(글로벌301)",김정일,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),사범대학 전기·전자·통신공학교육과,,김정일,PASS/FAIL,가상강의(보조강의)
교육자료설계와 개발,전공(핵심),사범대학 전기·전자·통신공학교육과,화13:00~15:00(글로벌305),서형업,GRADE,가상강의(보조강의)
데이터통신(캡스톤디자인),전공(핵심),사범대학 전기·전자·통신공학교육과,"목13:30~15:30(글로벌312), 금14:00~15:00(글로벌312)",김정일,GRADE,가상강의(보조강의)
전자에너지변환,전공(핵심),사범대학 전기·전자·통신공학교육과,"화10:00~12:00(글로벌301), 수13:00~14:00(글로벌301)",조한욱,GRADE,가상강의(보조강의)
전력공학,전공(핵심),사범대학 전기·전자·통신공학교육과,"화16:00~17:30(글로벌305), 수16:00~17:30(글로벌305)",,GRADE,가상강의(보조강의)
전기·전자·통신교육과정및교재연구,전공(핵심),사범대학 전기·전자·통신공학교육과,월14:00~16:00(글로벌305),김태훈,GRADE,가상강의(보조강의)
디지털시스템,전공(심화),사범대학 전기·전자·통신공학교육과,"화10:00~12:00(글로벌504), 수10:00~12:00(글로벌504)",장은상,GRADE,가상강의(보조강의)
전기설비설계 및 법규,전공(심화),사범대학 전기·전자·통신공학교육과,"수09:00~10:00(글로벌301), 목09:00~12:00(글로벌301)",조한욱,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),사범대학 화학공학교육과,,김태근,PASS/FAIL,가상강의(보조강의)
공업수학,전공(기초),사범대학 화학공학교육과,금09:00~12:00(공1409),박지혜,GRADE,가상강의(보조강의)
진로계발,전공(핵심),사범대학 화학공학교육과,수13:00~15:00(공1412),이규녀,GRADE,가상강의(보조강의)
화학개론,전공(기초),사범대학 화학공학교육과,화09:00~12:00(공1409),김태근,GRADE,가상강의(보조강의)
교육자료의 이해,전공(핵심),사범대학 화학공학교육과,수16:00~18:00(공1409),이규녀,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),사범대학 화학공학교육과,월12:00~13:00(공1412),김소연,GRADE,가상강의(보조강의)
섬유화학,전공(핵심),사범대학 화학공학교육과,"화16:00~18:00(공1412), 수18:00~19:00(공1412)",박지혜,GRADE,가상강의(보조강의)
공학수학 1,전공(핵심),사범대학 화학공학교육과,목09:00~12:00(공1412),김태근,GRADE,가상강의(보조강의)
화공양론1,전공(기초),사범대학 화학공학교육과,월13:00~16:00(공1412),김소연,GRADE,가상강의(보조강의)
공업분석화학,전공(핵심),사범대학 화학공학교육과,목09:00~12:00(공1414),박지혜,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),사범대학 화학공학교육과,,김소연,PASS/FAIL,가상강의(보조강의)
유기화학1,전공(기초),사범대학 화학공학교육과,월09:00~12:00(공1412),김소연,GRADE,가상강의(보조강의)
물리화학,전공(기초),사범대학 화학공학교육과,수09:00~12:00(공1414),김태근,GRADE,가상강의(보조강의)
화공·섬유교육론,전공(핵심),사범대학 화학공학교육과,금13:00~16:00(공1409),이규녀,GRADE,가상강의(보조강의)
화공수학,전공(핵심),사범대학 화학공학교육과,"월18:00~20:00(공1414), 화18:00~19:00",,GRADE,가상강의(보조강의)
반응공학1,전공(핵심),사범대학 화학공학교육과,월13:00~16:00(공1414),이광복,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),사범대학 화학공학교육과,,이광복,PASS/FAIL,가상강의(보조강의)
현장실습,전공(핵심),사범대학 화학공학교육과,,김소연,PASS/FAIL,가상강의(보조강의)
공업화학실험,전공(핵심),사범대학 화학공학교육과,"목13:00~14:00(공1409), 목14:00~18:00(공1409)",김태근,GRADE,가상강의(보조강의)
기능성섬유가공,전공(심화),사범대학 화학공학교육과,화09:00~12:00(공1412),박지혜,GRADE,가상강의(보조강의)
교사리더십과창의성,전공(심화),사범대학 화학공학교육과,월16:00~18:00(공1409),이규녀,GRADE,가상강의(보조강의)
화공·섬유교육과정및교재연구,전공(핵심),사범대학 화학공학교육과,화13:00~16:00(공1412),김소연,GRADE,가상강의(보조강의)
유기공업화학,전공(핵심),사범대학 화학공학교육과,수13:00~16:00(공1409),박지혜,GRADE,가상강의(보조강의)
공업교육행정및시설,전공(심화),사범대학 화학공학교육과,"수08:00~09:00(공1414), 금16:00~18:00(공1409)",이규녀,GRADE,가상강의(보조강의)
화공·섬유교육프로젝트,전공(심화),사범대학 화학공학교육과,,김소연,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),사범대학 기술교육과,,최유현,PASS/FAIL,가상강의(보조강의)
공업물리,전공(기초),사범대학 기술교육과,"월10:30~12:00(글로벌406), 수10:30~12:00(글로벌303)",유영준,GRADE,가상강의(보조강의)
창의공학설계입문,전공(기초),사범대학 기술교육과,월17:00~19:00(글로벌406),이태윤,GRADE,가상강의(보조강의)
설계제도,전공(기초),사범대학 기술교육과,"월13:00~17:00(글로벌406), 목16:00~18:00(글로벌406)",이태윤,GRADE,가상강의(보조강의)
융합지식과미래교육리더십,교양(소양),사범대학 기술교육과,"화13:00~14:00(글로벌303), 수13:00~15:00(글로벌303)",이승원,GRADE,가상강의(보조강의)
융합지식과미래교육리더십,교양(소양),사범대학 기술교육과,"화13:00~14:00(자2415), 수13:00~15:00(자2415)",이승민,GRADE,가상강의(보조강의)
창의발명과 팀 문제해결,교양(소양),사범대학 기술교육과,"화17:00~18:00(글로벌303), 수15:00~17:00(글로벌303)",이승원,GRADE,가상강의(보조강의)
디자인싱킹과 교육혁신,교양(균형),사범대학 기술교육과,화14:00~16:00(글로벌303),최유현,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),사범대학 기술교육과,화09:00~10:00(글로벌406),김용성,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),사범대학 기술교육과,,최유현,PASS/FAIL,가상강의(보조강의)
발명과특허,전공(심화),사범대학 기술교육과,"화09:00~10:00(글로벌303), 목14:00~16:00(글로벌303)",최유현,GRADE,가상강의(보조강의)
컴퓨터프로그래밍,전공(심화),사범대학 기술교육과,"월14:00~16:00(글로벌304), 목13:00~14:00(글로벌304)",노경숙,GRADE,가상강의(보조강의)
기계기술,전공(핵심),사범대학 기술교육과,"월09:00~11:00(글로벌307), 금09:00~10:00(글로벌307)",이태윤,GRADE,가상강의(보조강의)
컴퓨터기술,전공(핵심),사범대학 기술교육과,"화10:00~12:00(글로벌303), 수09:00~10:00(글로벌303)",김용성,GRADE,가상강의(보조강의)
기술교육론,전공(심화),사범대학 기술교육과,수10:00~12:00(글로벌307),최유현,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),사범대학 기술교육과,,최유현,PASS/FAIL,가상강의(보조강의)
전자기술,전공(심화),사범대학 기술교육과,"화14:00~16:00(글로벌407), 수13:00~14:00(글로벌407)",이명훈,GRADE,가상강의(보조강의)
기술교육실천사례,전공(심화),사범대학 기술교육과,,,GRADE,가상강의(보조강의)
토목기술,전공(심화),사범대학 기술교육과,화09:00~12:00(글로벌307),조두용,GRADE,가상강의(보조강의)
수송기술,전공(핵심),사범대학 기술교육과,월09:00~12:00(글로벌303),오동진,GRADE,가상강의(보조강의)
제조기술실습,전공(핵심),사범대학 기술교육과,목14:00~20:00(공5214),우연재,GRADE,가상강의(보조강의)
목재가공실습,전공(심화),사범대학 기술교육과,"수09:00~13:00(공5107), 목09:00~11:00(공5107)",이정아,GRADE,가상강의(보조강의)
기술교육과정및교재연구,전공(핵심),사범대학 기술교육과,"수14:00~16:00(글로벌307), 목11:00~12:00(글로벌307)",최유현,GRADE,가상강의(보조강의)
디지털활용교육,전공(심화),사범대학 기술교육과,,,GRADE,가상강의(보조강의)
에너지와동력,전공(핵심),사범대학 기술교육과,목14:00~18:00(글로벌307),임석연,GRADE,가상강의(보조강의)
정보통신기술,전공(핵심),사범대학 기술교육과,"화14:00~17:00(글로벌307), 목09:00~10:00(글로벌307)",김용성,GRADE,가상강의(보조강의)
전기전자응용실습,전공(심화),사범대학 기술교육과,화09:00~14:00(글로벌407),이명훈,GRADE,가상강의(보조강의)
교과지도와생활상담,전공(심화),사범대학 기술교육과,"수09:00~11:00(글로벌407), 목11:00~12:00(글로벌407)",이명훈,GRADE,가상강의(보조강의)
융합기술프로젝트,전공(심화),사범대학 기술교육과,화18:00~24:00(글로벌307),이명훈,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),사범대학 기계공학교육과,,이창훈,PASS/FAIL,가상강의(보조강의)
공업수학,전공(기초),사범대학 기계공학교육과,"월15:00~16:00(글로벌104), 월17:00~19:00(글로벌104)",김충환,GRADE,가상강의(보조강의)
공업물리,전공(기초),사범대학 기계공학교육과,"목17:00~18:00(글로벌104), 금10:00~12:00(글로벌104)",강태규,GRADE,가상강의(보조강의)
창의공학설계입문,전공(핵심),사범대학 기계공학교육과,금13:00~16:00(글로벌101),송교원,GRADE,가상강의(보조강의)
융합학문탐구프로젝트,교양(소양),사범대학 기계공학교육과,화15:00~17:00(글로벌104),임나영,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),사범대학 기계공학교육과,화17:00~18:00(글로벌104),이창훈,GRADE,가상강의(보조강의)
열역학,전공(핵심),사범대학 기계공학교육과,화14:00~17:00(글로벌101),임석연,GRADE,가상강의(보조강의)
고체역학,전공(핵심),사범대학 기계공학교육과,"월11:00~12:00(글로벌104), 월13:00~15:00(글로벌104)",김충환,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),사범대학 기계공학교육과,,이창훈,PASS/FAIL,가상강의(보조강의)
설계와제도,전공(핵심),사범대학 기계공학교육과,"목09:00~11:00(공5210), 목11:00~13:00(공5210)",이후승,GRADE,가상강의(보조강의)
기계공작실습,전공(기초),사범대학 기계공학교육과,금13:00~19:00(공5214),이후승,GRADE,가상강의(보조강의)
기계·재료교육론,전공(핵심),사범대학 기계공학교육과,수10:00~13:00(글로벌104),정훈섭,GRADE,가상강의(보조강의)
재료과학실무,전공(기초),사범대학 기계공학교육과,금09:00~12:00(글로벌101),문광호,GRADE,가상강의(보조강의)
CNC가공 및 실습,전공(심화),사범대학 기계공학교육과,"화09:00~11:00(공5214), 화11:00~13:00(공5214)",이후승,GRADE,가상강의(보조강의)
재료강도학,전공(핵심),사범대학 기계공학교육과,"수14:00~16:00(글로벌104), 목16:00~17:00(글로벌104)",강태규,GRADE,가상강의(보조강의)
미래설계상담5,전공(기초),사범대학 기계공학교육과,,이창훈,PASS/FAIL,가상강의(보조강의)
기계·재료 교육과정 및 교재연구,전공(핵심),사범대학 기계공학교육과,목13:00~16:00(글로벌101),이상현,GRADE,가상강의(보조강의)
기계·재료 교수법 및 평가,전공(핵심),사범대학 기계공학교육과,수10:00~12:00(글로벌101),송교원,GRADE,가상강의(보조강의)
내연기관실무,전공(심화),사범대학 기계공학교육과,월14:00~17:00(글로벌101),오동진,GRADE,가상강의(보조강의)
자동제어,전공(핵심),사범대학 기계·재료공학교육과,"화10:00~12:00(글로벌104), 화13:00~15:00(글로벌104)",김충환,GRADE,가상강의(보조강의)
소성가공학,전공(심화),사범대학 기계·재료공학교육과,"수16:00~18:00(글로벌104), 목14:00~16:00(글로벌104)",강태규,GRADE,가상강의(보조강의)
산학협동교육,전공(심화),사범대학 기계·재료공학교육과,수13:00~16:00(글로벌101),이상현,GRADE,가상강의(보조강의)
기계·재료교육세미나,전공(심화),사범대학 기계·재료공학교육과,목09:00~13:00(공1409),이창훈,GRADE,가상강의(보조강의)
생활지도와상담의이론과실제,전공(심화),사범대학 기계·재료공학교육과,월10:00~13:00(글로벌101),이상현,GRADE,가상강의(보조강의)
미래설계상담1,전공(기초),간호대학 간호학과,,정미숙,PASS/FAIL,가상강의(보조강의)
간호학개론,전공(핵심),간호대학 간호학과,금13:00~15:00(201 대형강의실),서현주,GRADE,가상강의(보조강의)
간호학개론,전공(핵심),간호대학 간호학과,금10:00~12:00(201 대형강의실),서현주,GRADE,가상강의(보조강의)
기초건강과학1(인체구조와 기능),전공(기초),간호대학 간호학과,금09:00~12:00(101 대형강의실),이현정,GRADE,가상강의(보조강의)
기초건강과학1(인체구조와 기능),전공(기초),간호대학 간호학과,금13:00~16:00(101 대형강의실),이현정,GRADE,가상강의(보조강의)
대학생의성건강,교양(소양),간호대학 간호학과,,송라윤,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),간호대학 간호학과,금16:00~17:00(101 대형강의실),송라윤,GRADE,가상강의(보조강의)
대학생활과 진로설계,교양(소양필수),간호대학 간호학과,금16:00~17:00(201 대형강의실),송라윤,GRADE,가상강의(보조강의)
미래설계상담3,전공(기초),간호대학 간호학과,,정미숙,PASS/FAIL,가상강의(보조강의)
의사소통론,전공(심화),간호대학 간호학과,월16:00~18:00(306강의실),강문희,GRADE,가상강의(보조강의)
비판적사고 및 간호과정,전공(핵심),간호대학 간호학과,화17:00~18:00(305 강의실),박문경,GRADE,가상강의(보조강의)
비판적사고 및 간호과정,전공(핵심),간호대학 간호학과,화16:00~17:00(305 강의실),박문경,GRADE,가상강의(보조강의)
보건교육론,전공(심화),간호대학 간호학과,월16:00~18:00(305 강의실),정미숙,GRADE,가상강의(보조강의)
기본간호학1,전공(핵심),간호대학 간호학과,월10:00~12:00(305 강의실),박세연,GRADE,가상강의(보조강의)
기본간호학1,전공(핵심),간호대학 간호학과,월13:00~15:00(305 강의실),박세연,GRADE,가상강의(보조강의)
기본간호학실습1,전공(핵심),간호대학 간호학과,화09:00~11:00(401기본간호학실습실),박세연,GRADE,가상강의(보조강의)
기본간호학실습1,전공(핵심),간호대학 간호학과,화11:00~13:00(401기본간호학실습실),박세연,GRADE,가상강의(보조강의)
기본간호학실습1,전공(핵심),간호대학 간호학과,화13:00~15:00(401기본간호학실습실),박세연,GRADE,가상강의(보조강의)
기본간호학실습1,전공(핵심),간호대학 간호학과,화15:00~17:00(401기본간호학실습실),박세연,GRADE,가상강의(보조강의)
기본간호학실습1,전공(핵심),간호대학 간호학과,화17:00~19:00(401기본간호학실습실),박세연,GRADE,가상강의(보조강의)
